name,title,class,link
1,Health & Counselling - Simon Fraser University (sfu.ca),SFU Health,https://www.sfu.ca/students/health.html
1_1,Medical Services - Health & Counselling - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/see-a-doctor.html
1_3,Graduate student - Health & Counselling - Simon Fraser University (sfu.ca),Graduate Student Health Services,https://www.sfu.ca/students/health/graduate-students.html
1_5,Contact us - Health & Counselling - Simon Fraser University (sfu.ca),Contact & Support Information,https://www.sfu.ca/students/health/contact-us.html
1_6,Unregistered students - Health & Counselling - Simon Fraser University (sfu.ca),Health Services for Unregistered Students,https://www.sfu.ca/students/health/unregistered-students.html
1_1_1,See a nurse - Health & Counselling - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/see-a-doctor/see-a-nurse.html
1_1_2,Vaccines - Health & Counselling - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/see-a-doctor/vaccines.html
1_1_3,Sexual Health - Health & Counselling - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/see-a-doctor/sexual-health.html
1_1_4,Gender-Affirming Care - Health & Counselling - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/see-a-doctor/gender-affirming-care.html
1_1_5,Sick notes for missed classes and withdrawals - Health & Counselling - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/see-a-doctor/missed-classes.html
1_1_6,Medical clinics close to your location (medimap.ca),Medical Appointment & Clinical Services,https://medimap.ca
1_1_7,Disabled and neurodiverse students can access various options for support - Learn more - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/health/support-resources/counselling-services/disabled-neurodivergent.html
1_1_8,Centre for Accessible Learning - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/accessible-learning.html
1_1_9,For more information about academic concessions - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/students/enrolment-services/policies-and-procedures/academic-concessions.html.html#academic-concessions
1_1_10,"The Office of Student Support, Rights, and Responsibilities - Simon Fraser University (sfu.ca)",Medical Appointment & Clinical Services,https://www.sfu.ca/students/studentsupport.html
1_1_11,SFU's Medical Insurance - Simon Fraser University (sfu.ca),Medical Appointment & Clinical Services,https://www.sfu.ca/medical-insurance.html
